Variable	Dim1	Dim2	Dim3	Factor
DiffRead	1.238	-0.045	-0.2295	Language
DiffSpell	1.8774	-0.8018	0.017	Language
Stutter	0.0359	-0.0642	-0.1621	Language
VerbalIn	0.1731	0.1948	-0.1769	Language
DiffHand	0.7669	-0.4953	0.6001	Motor
Clumsy	0.1312	-0.7774	-0.098	Motor
MotorTic	0.1595	-0.0113	-0.2398	Motor
DiffMath	1.0343	1.784	-0.695	VizSpat_Math
DiffGeom	0.9249	2.2854	-0.8392	VizSpat_Math
L_Rconf	0.7634	-1.1755	0.1672	Motor
DiffNavi	0.8354	-0.1435	-0.9308	VizSpat_Math
DiffMap	0.6858	0.1603	-0.1224	VizSpat_Math
DiffDraw	0.5208	-0.2991	1.6263	Motor
DiffRhy	0.4258	-1.3697	-0.0466	Motor
FreqMist	0.0776	0.7209	0.6961	Attention
BoredEas	-1.1012	0.5841	1.9621	Attention
DiffAtt	-0.7167	1.0276	1.1602	Attention
AfraidMeet	-1.8845	-1.1798	-1.0702	Social
PreferAlone	-3.8078	-0.4847	-0.309	Social
AfraidNew	-1.36	-0.2304	-1.3577	Orphan
Tantrums	-0.8194	0.3506	0.0482	Orphan
